FilePath,LineNumber,RecieverVaribale,Context,Label
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\AwtRunnableQueue.java,141,java.util.LinkedList,java.util.LinkedList poll peek {  synchronized { != && 0 ==  while },poll
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\SyntaxUtilities.java,132,java.util.StringTokenizer,java.util.StringTokenizer hasMoreTokens  while StringTokenizer StringTokenizer boolean boolean Color,hasMoreTokens
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\StandardUtilities.java,687,java.lang.String,java.lang.String charAt length != charAt || length >=  if { length <  for boolean,charAt
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\PropertiesBean.java,109,java.lang.reflect.Method,java.lang.reflect.Method invoke { try _val=parse !=  if _val=p.getProperty Object getName + "." + _pname=root String,invoke
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\SegmentBuffer.java,50,java.lang.System,java.lang.System arraycopy +,arraycopy
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\StandardUtilities.java,296,java.lang.StringBuilder,java.lang.StringBuilder append append append append 0) >  while % append 0) >  while 0) !=  if / % + int,append
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\StandardUtilities.java,158,java.lang.String,java.lang.String charAt length  switch { 0 >= 1 - length  for int,charAt
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\StandardUtilities.java,583,java.lang.String,java.lang.String length charAt length substring startsWith != 1 +  if append '{': case break append else,length
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\Log.java,316,java.lang.Class,java.lang.Class getName _source= else _source= Class) instanceof  if else } } _source=Thread.currentThread,getName
C:\Users\mda439\git\Reading Materials\CMPT816_Software_Maintenance_and_Evolution\CMPT470-816AssignmentMachineLenaring-master\.\data\repository\jEdit\org\gjt\sp\util\StandardUtilities.java,85,java.lang.StringBuilder,java.lang.StringBuilder append append append append append else } } append append,append
